"magie","sort","effet","cible","temps","cout"
"eau","Marécage","Créer une zone humide, ce qui lui confère un bonus dû à son clan, mais rendant difficile tous mouvements pour les autres clans, malus de 10% dans cette zone aux actions physiques ","Sur zone","Persistant","2"
"eau","Respiration aquatique","Permet de respirer sous l'eau","Sur cible","Persistant","2"
"eau","Liquéfaction","La cible peut devenir une flaque d'eau et de se mouvoir sur quelques mètres, ne peut infliger des dommages ni en recevoir ","Sur cible","2 tours","2"
"eau","Lien d'eau","La cible et le lanceur sont liés. Leur PV et leur sont communs. Les joueurs peuvent ainsi décider de répartir les dégâts subit sur l'un ou l'autre. Ils peuvent aussi puisant dans l'une ou l'autre barre de.","Sur cible et sur soi","Persistant","2"
"eau","Chaîne d'eau","Créer une chaîne d'eau qui empêche celui qui est dedans de bouger, il doit réussir un test de physique à-25% ","Sur cible","Persistant","3"
"eau","Fouet d'eau","1d6+3 de dégâts","Sur cible","Un tour","3"
"eau","Eau de vie","Génère une eau guérissante,  soigne 1d6+3 PV ","Sur cible ou sur soi","Un tour","3"
"eau","Noyade","Enferme la victime dans un cube d'eau pour le noyer(5psy+2 mt)","Sur cible","Maintien","5"
"eau","Averse d'eau","Dans une zone précise la pluie se met à tomber très fortement(inflige 2d6+2 de dégât)","Sur zone","Un tour","5"
"eau","Assèchement","Absorbe l'eau d'une cible,  provocant une sensation de soif, la cible doit retrouver de l'eau avant toute action ","Sur cible","Persistant","5"
"eau","Maîtrise de l'eau","l'utilisateur peut contrôler les victimes et les obligés à faire ce qu'il veut(6psy+3 mtn)","Sur cible","Maintien","6"
"eau","Mur d'eau","Créer un mur d'eau puissant et impénétrable(6psy+3 mtn","Sur zone","Maintien","6"
"eau","Tsunami","Invoque une vague d'eau qui emporte tous sur son passage,  déplace les cibles, peut les noyer(si rate un test de physique,  inflige 2d8 de dommage, dégât de zone ","Sur zone","Un tour","8"
"eau","Vague scélérate","Inflige 4d10 perce armure, sur allier et ennemi dans la zone ","Sur zone","Unique","12"
"eau","Séparation des eaux","Écarte tous les surfaces en eau,  rivière à océan...(PSY en fonction de la surface)(X+X-1 mtn) ","Sur zone","Maintien",""
"esprit","**** ESPRIT *****","","T","","0"
"esprit","Télépathie","Permet de communiquer avec des joueurs à  distances","Sur groupe ou sur cible","Persistant","0"
"esprit","Vol de magique","Vol 1d6 à  sa victime(2PV)","Sur cible et sur soi","Un tour","2"
"esprit","Sixième sens","Permet de pressentir un danger imminent","Sur zone","Un tour","2"
"esprit","Effet placebo","Améliore le soin de+2 point par soin","Sur cible","Persistant","2"
"esprit","Débilité","La personne qui en est la cible doit faire un jet de dès sous sa compétence mentale pour pouvoir agir","Sur cible","Persistant","3"
"esprit","Manipulation de l'esprit","Inspire la terreur(les ennemi doivent tester leur mental pour éviter de fuir avec un malus de 15%)","Sur cible","Un tour","3"
"esprit","Concentration","Augmente de 5 % le jet de compétence pour toute l'équipe","Sur groupe","3 tour","3"
"esprit","Ailes spectrales","Le joueur se voit pousser des ailes et peut ainsi voler(3osy+2 mnt)","Sur soi ou sur cible","Un tour","3"
"esprit","Anticipation","Permet de connaître les attaques en avance de la personne","Sur cible","Un tour","3"
"esprit","l'oubli","Efface la mémoire à  court terme de la cible","Sur cible","Persistant","4"
"esprit","Attaque cérébrale","Inflige 1d6+5 de dégât perce armure","Sur cible","Un tour","5"
"esprit","Esprit du dragon","Permet d'invoquer l'esprit d'un mort pour discuter avec lui, ou le faire combattre(6 PV inflige 1d6+2 de dommage et a 50 dans chaque caractéristique, ne peut-être blesser que par de la magie), créature semi-libre ","Sur zone","Persistant","5"
"esprit","Contrôle mental","Permet de contrôler la victime, et lui faire faire ce que bon te semble(victime peut y tenter dit résisté, test de mental à -50% puis à -40%, -30 % etc jusqu’à  0%) ","Sur cible","Persistant","6"
"esprit","Méditation","Le lanceur se mets hors combat récupère 25% de sa par tour, ne peut combattre, se défendre ou agir durant sa méditation ","Sur soi","Persistant","6"
"esprit","Ultime esprit","Permet de devenir un pure esprit,  immunisé aux attaques physiques, et infligeant 1d6+2 de dommage au, le corps physique disparaît jusqu’à  annulation du sort(si plus de dégât sur les PV). Les dégâts magiques sont déjà  décomptés de la. Il se déplace dans comme le monde réel. l'ultime esprit ne peut avoir d'interaction avec le monde matériel. ","Sur soi","Persistant","8"
"esprit","Appel à  Alserha","Inflige 4d10 de dégât sur ennemi ","Sur zone","Unique","12"
"feu","**** FEU *****","","T","","0"
"feu","Pyrokinésie","Création et manipulation de flamme","Sur zone","Un tour","0"
"feu","Téléportation dans les flammes","Le joueur peut se téléporter dans un feu à  proximité sans craindre les brûlures ","Sur zone","Un tour","2"
"feu","Invocation Monture de feu","La monture est un cheval pouvant infliger 1d6 de dommage,  créature semi-libre ","Sur zone","Persistant","3"
"feu","Vérité de feu","Permet de savoir si une personne ment ou pas, si elle ment elle sera brûle,  sinon rien ne se passera sur PNJ uniquement ","Sur cible","Un tour","3"
"feu","Enfer sur Terre","Créer un puissant jet de flamme 1d6+3 de dégâts(+2 de dommage pour chaque supplémentaire)(3psy+2mn)","Sur cible ou zone","Un tour","3"
"feu","Armure de Feu ","+2 en armure","Sur soi ou sur cible","Persistant","3"
"feu","Douce chaleur ","Permet de calmer un PNJ(sur un jet de social de l'ennemi réussi)","Sur cible","Persistant","3"
"feu","Lien du feu","Permet de communiquer par télépathie avec les autres joueurs","Sur cible ou groupe","Persistant","3"
"feu","Protection des flammes","Créer une armure de feu qui protège des attaques physiques(malus de 10 % contre les attaques et inflige 1d6 de dommage pour attaque au corps à  corps)","Sur cible ou soi","Persistant","4"
"feu","Epée de Feu","génère une épée de feu qui inflige en plus des dégâts habituelle d'une épée+1d6 par tour dû au flamme","Sur cible ou soi","Persistant","4"
"feu","Brûlure","Inflige 1d4+4 de dégât armure non prise en compte","Sur cible","Un tour","4"
"feu","l'esprit du feu","Invoque un élémentaire de feu(8 PV 80 physique / 10 Social / 60 Mental, faisant 1d4+2 perce armure), insensible aux attaques physiques mais sensible à  l'eau(double dégât), créature semi libre ","Sur zone","5 tours","5"
"feu","Vulcano","Invoque l'esprit du feu(20 PV, 0 Armure, Physique 80/ Mental 60/ Social 10, infligeant 1d6+6 de dommage, 9 possibilité de faire enfer sur terre) ","Sur zone","Persistant","8"
"feu","Torche humaine","permet de devenir un pure esprit,  immunisé aux attaques physiques,  et attaque à 1d6+2 de dommage au(sur jet de mental),  le corps physique disparaît jusqu’à annulation du sort (si plus de dégât sur les PV). Les dégâts magiques sont déjà décomptés de la. Il se déplace dans comme le monde réel. La  torche humaine ne peut avoir d'interaction avec le monde matériel. ","Sur soi","Maintien","8"
"feu","Apocalysme","Inflige 5d10 perce armure, sur allier et ennemi dans la zone ","Sur zone","Unique","14"
"feu","Cautérisation","Soigne 1d8+2","Sur soi ou cible","Un tour","2"
"foudre","**** FOUDRE *****","","T","","0"
"foudre","Lumière","Permet de créer un petit orage dans sa main pour illuminer les alentours","Sur soi","Persistant","0"
"foudre","Précision","Augmente de 10 % le jet de compétence sur soi ou un autre joueur ","Sur soi ou sur cible","3 actions","2"
"foudre","Nuage orageux","Génère une brune épaisse dans une zone de 20 mètres(2psy+1/10m)","Sur zone","Persistant","2"
"foudre","Déplacement rapide","Le joueur peut se téléporter dans un rayon de 30 m(2+2/10m","Sur soi","Instantané","2"
"foudre","Réflexe accru","Permet à  la cible de parer ou esquiver même en posture non défensive(si elle est en posture défensive elle a un bonus de 10%)peut effectuer plus d'une esquive","Sur cible","Un tour","2"
"foudre","Effet foudroyant","Permet d'électrifier une arme lui donnant+4 de dommage","Sur cible","3 tour","2"
"foudre","Détection d'énergie","Permet de repérer tous signe activité électrique, y compris des influes nerveux ","Sur zone","Un tour","3"
"foudre","Réflection éclair","Permet une meilleure analyse de la situation,  information sur les ennemis leur capacité etc... ","Sur zone","Un tour","3"
"foudre","Orage foudroyant","Créer un éclair qui inflige 1d6+5 de dégâts","Sur cible","Un tour","4"
"foudre","Vitesse éclair","Permet au joueur qui en est la cible d'agir 2 fois par tour","Sur soi ou sur cible","ce tour et le prochain","4"
"foudre","Armure électrique","+2 armure, si l'adverse touche il prend 1d4 de dommage armure impossible, s'il a une armure en métal ou porte du métal ajouter+2 en dommage ","Sur soi ou sur cible","Persistant","4"
"foudre","Anneau d'éclairs","Fait un mur d'éclair autour de soi, le mur est bruyant, il faut pour toute personne proche faire un test de résistance au bruit(provoque 2d6+2 de dommage au personne le franchissant ami ou ennemi)(4psy+2mt) ","Sur zone","Maintien","4"
"foudre","Paralysie non létale","Engourdi l'ennemi d'un coup de foudre, il a un malus de 20 % par tour ","Sur cible","4 tour","5"
"foudre","Animation de la foudre","Permet de relancer le cœur d'un joueur ou cible, la cible fait un test de chance à  50 ou moins s'il réussit il revient à  la vie avec 6 PV ","Sur cible","Un tour","5"
"foudre","Etincelle de vie","Donne vie à  un élémentaire de foudre(3 Armure, 20 PV, 85 Physique, 10 mental, 10 social, 2d6 de dommage), créature semi-libre. ","Sur zone","Persistant","8"
"foudre","Marteau d'Aïdora","Inflige 5d8 perce armure, sur ennemi dans la zone ","sur zone","Unique","13"
"glace","**** GLACE *****","","T","","0"
"glace","Création de glace","Permet de générer de la glace ou des armes de glaces ou autres objets ","Sur zone","Persistant","0"
"glace","Miroir de glace","permet de créer une surface réfléchissante","Sur zone","Persistant","2"
"glace","Familier de Glace","Création d'un familier de glace pouvant agir comme le joueur, il a 5 PV, durant le tour du joueur,  créature liée, en lien avec soi ","Sur zone","Persistant","2"
"glace","Cristallisation","Permet de cristalliser/geler ce qui veut. La cible peut tenter de briser la glace sur un jet de physique à -10% s'il échoue, au deuxième tour cela sera à -20% etc.. ","Sur cible","Persistant","3"
"glace","Bouclier de glace","+2 armure ","Sur cible ou sur soi","Persistant","3"
"glace","Gel de surface","Gel une étendue, rendant le sol glissant,  toute personne voulant passer sur cette zone doit faire un test d'équilibre  ","Sur zone","Persistant","3"
"glace","Épée de glace","génère une épée de glace qui inflige en plus des dégâts habituels d'une épée+1d6 par tour dû» au froid","Sur cible ou sur soi","Persistant","4"
"glace","Booste de glace","Gagne 1d6 de point à  répartir entre l'armure et les dégâts","Sur cible ou sur soi","Persistant","4"
"glace","Souffle froid","Inflige 1d6+5 de dommage a une cible","Sur cible","Un tour","4"
"glace","Mur hérissé","Génère un mur de glace couvert de pieux de glace. Les ennemis voulant s'en approcher devront faire un test d'agilité, s'ils ratent ils prendront 1d4+2 perce armure de dégât. Le mur a 20 PV de protection  ","Sur zone","Persistant","5"
"glace","Hypothermie","Engourdi l'ennemi malus de 40% pour toute action physique","Sur cible","2 tour","5"
"glace","Aire glaciaire","Recouvre de glace une zone de 10 m et inflige 1d6+4 de dommage armure non prise en compte à  toutes cible dans la zone, cette zone est glissante et donc difficilement praticable.(7psy+4mn) ","Sur zone","Un tour","7"
"glace","Puissance de Klaraug","Inflige 4d10 perce armure sur les ennemis, les ennemis qui échouent à  un test de physique sont gelés sur place ","Sur zone","Unique","13"
"glace","Transfert de froid","Soigne 1d8+2 PV","Sur soi ou sur cible","un tour",""
"glace","Gel de magie ","Gel X de ses propres pouvant servir plus tard à  tous moments","Sur soi","Persistant",""
"glace","Gel de Vie","Gel X PV de ses propres PV pouvant servir plus tard à  tous moments","Sur soi","Persistant",""
"illusion","**** ILLUSION *****","","T","","0"
"illusion","Choix illusoire","Créer une illusion sur l'un des sens, si le lanceur veut influencer plus d'un sens, cela lui coûtera plus de et/ou ce dernier aura un malus ","Sur zone","Un tour","0"
"illusion","Illusion d'arme","L'enemi ne sait plus où est exactement l'arme est a donc des difficultés à  la parer. Il a donc un malus de 20% au jet de défense,  influe sur la vue ","Sur cible","Persistant","2"
"illusion","Enchantement d'armure","Perturbe l'adversaire,  rendant la cible, plus difficile à  toucher(-10% pour les attaques physique ou/et magique) ","Sur cible","Un tour","2"
"illusion","Mirage","Génère le souhait le plus cher à  un PNJ","Sur cible","Un tour","3"
"illusion","Illusion terrifiante","Inspire la terreur(les ennemi doivent tester leur mental pour éviter de fuir avec un malus de 15%)influe sur vue,  ouïe et odeur ","Sur cible","un tour","3"
"illusion","Disparition","Le joueur ou la cible se fond dans une illusion optique, peut se déplacer sans être vu, dès une action physique l'illusion s'annule. Influe sur la vue  ","Sur soi ou cible","Persistant","3"
"illusion","Illusion du destin","Permet de relancer un jet de dés","Sur soi ou sur cible","Éphémère","3"
"illusion","Apparition sublime","La cible devient une succube, qui séduit l'ennemi. Il en devient excitant et doit faire un jet de décision à  50% ou mois pour attaquer. Le sort influe sur les 5 sens ","Sur cible","Persistant","3"
"illusion","Hypnotisme","Permet de suggérer une action à  un personne, la cible tentera un jet de mental pour y résister. Influe sur les 5 sens ","Sur cible","Persistant","4"
"illusion","Piège illusoire","La cible se trouve piégé dans un cauchemar, dois faire un jet de mental pour s'en sortir, si elle rate elle prend 1d6 de dommage armure non prise en compte, influe les 5 sens ","Sur cible","Persistant","4"
"illusion","Yeux de Draauch","La cible ne sais plus qui est allié ou ennemi et attaque ses alliés,  influe sur les 5 sens ","Sur cible","Persistant","4"
"illusion","Duplication optique","Le joueur créer des clones de lui ce qui perturbe l'ennemi, les clones ne peuvent infliger de dommage. Le joueur doit vert un test de mental les tours suiffant pour voir s'il arrive a maintenir ses clones. l'ennemi doit faire un test de sagacité à -15% pour savoir s'il veut trouver le vrai des faux par tour,  influe sur l'ouïe et la vue ","Sur soi","Persistant","5"
"illusion","Lame de Draauch","La lame de ce dieu perfide vient prêter renfort à  son adepte,  inflige 1d6+5 de dommage sur un tour, la cible doit faire un test de mental pour savoir si elle résiste à  l'illusion, si elle échoue, elle n'attaque pas ce tour, jusqu’à  réussite ce test ou si la cible subit des blessures, les 5 sens ","Sur soi ou sur cible","Un tour","5"
"illusion","Privation sensorielle","Prive la cible de tous ses sens, la cible devient folle si rate un test de mental avec un malus de+10% a chaque tour ","Sur cible","Persistant","7"
"illusion","Illusion funeste","Pousse-la ou les cible(s)au suicide(sauf s'il réussit un test d'astuce)","Sur cible","Un tour","9"
"illusion","Fourberie de Draauch","Inflige 4d10 sur les ennemis, les ennemis qui échouent à  un test de mental sont plongés dans un cauchemar permanent sur place ","Sur zone","Unique","13"
"invocation","**** INVOCATION *****","","T","","0"
"invocation","Métamorphe","prends l'apparence de n'importe quelles créatures(et uniquement l'apparence)","Sur soi","Persistant","0"
"invocation","Invocation de créature","ne peut invoquer qu'une créature pour tour, se référencer au chapitre invocation de créature. ","Sur zone","Persistant",""
"invocation","Soin vétérinaire","Redonne 1d6 à  sa créature","Sur créature","Persistant","2"
"invocation","Protection instinctive","La créature bénéficie d'un bonus de 10% à  ces jets d'esquives","Sur créature","3 tours","2"
"invocation","Fureur bestiale","La créature obtient+3 en dommage(2psy+1mtn)","Sur créature","Maintien","2"
"invocation","Aura bienfaitrice","Absorbe les 10 prochains dégâts sur la créature","Sur créature","Persistant","3"
"invocation","Écaille de dragon","La peau du joueur ou créature devient écailleuse, +2 en armure ","Sur créature ou joueur","Persistant","3"
"invocation","Fusion","l'invocateur fusionne avec sa créature semi libre ou liée, les PV et les sont cumulés. A la fin de la fusion l'invocateur réparti les PV et entre lui et sa créature ","Sur soi et créature","Persistant","3"
"invocation","Hôte Corporel","Au choix+2 en dommage et 10% en physique, ou+2 en armure+10% en mental ","Sur cible","3 tour","3"
"invocation","Sacrifice","La créature prend les dégâts destinés à  l'invocateur, et disparaît à  la fin du tour ","Sur soi","Éphémère","4"
"invocation","Pluie de flèches","Fait abattre une pluie de flèche dans une zone 2d6+4 de dommage","Sur zone","Un tour","5"
"invocation","Appel de Maghweqi","Invoque le dieu Maghwegi, il inflige 2d6+4 sans armure prise en compte dans un rayon de 20m ou restaure 2d6+4 PV dans un rayon de 20m ","sur zone","Un tour","7"
"invocation","Invocation de l'armée de Emet","Invoque 2 gardes d'élites(Physique 70 Mental 20 Social 20, attaque 1d6+3, armure 3, 12 PV chacun)et un général d'élites(Physique 85 Mental 30 Social 30, attaque 2d6+3, armure 4, 16 PV)(invocation Libre)(9psy+3 H) ","Sur zone","5 tour","12"
"invocation","Invocation de Maghweqi","Inflige 4d10 perce armure sur les ennemis, les ennemis qui échouent à  un test de mental sont transformés en lapin ","Sur zone","Unique","13"
"invocation","Transfert de vie ","X pour soigner X PV de la créature","Sur créature","Un tour",""
"mort","**** MORT *****","","T","","0"
"mort","Charognard","Mange un cadavre ennemi récupère la moitié des PV manquant","Sur soi","hors combat / unique","0"
"mort","Rage du guerrier","Inflige une charge imblocable à  1d6 de dommage","Sur soi","Un tour","2"
"mort","Épée vampirique","Pour chaque coup infligé avec cette épée le joueur récupère la moitié des dégâts,  arrondi l'unité inférieure, en PV, si plus de le sort s’arrête(2+1mn) ","Sur cible","Un tour","2"
"mort","Nécromancie","Peut réanimer un cadavre autour de soi, la cible aura les même caractéristique que la personne en vie, il ne peut utiliser de magie et ses attaques feront 2 dégâts de moins, créature libre(2psy+1 P) ","Sur cible","Persistant","3"
"mort","Aides Morts-Vivants","Peut appeler un squelette pour combattre à  ses côtés,  créature semi-libre.(6/ squelettes 8 PV, 55 Physique, 10 social, 25 Mental, 2 en armure,  attaque soit épée ou arc)il reste en jeu pendant 5 tours ","Sur zone","5 tours","3"
"mort","Affaiblissement","Les ennemis dans la zone perdent 1d4 de force","Sur zone","Un tour","3"
"mort","Interrogatoire","La cible répond aux questions ou souffre.","Sur cible","Un tour","3"
"mort","Frayeur","Inspire la terreur(les ennemi doivent tester leur mental pour éviter de fuir avec un malus de 15%)influe sur vue ouÃ¯e et odeur ","Sur cible","Un tour","3"
"mort","Souffle mortel","Un vent putride souffle est inflige 1d4+4(perce armure)","Sur cible","Un tour","4"
"mort","Morsure de l'aube","La victime est maudite est doit faire un jet de chance à  50% à  toute action","Sur cible","Persistant","5"
"mort","Hache du destin","Inflige 3d6+3 de dommage","Sur cible","un tour","6"
"mort","Putréfaction","Détruit sur 1d6 : 1 à 3 l'armure / 4 à 6 : l'arme de la cible","Sur cible","Persistant","3"
"mort","Enfer d'Akuxas","Plonge la victime dans une illusion de son enfer et dois y affronter ses peurs, la cible doit faire un jet de mental à  10%(+10% a chaque tour jusqu’à  sa valeur de mental de base) ","Sur cible","Persistant","7"
"mort","Peste","Inflige 4d4+4 armure non prise en compte à  une cible par tour jusqu’à  la guérison de la Peste","Sur cible","Persistant","7"
"mort","Flèche mortelle","Génère 1d5+5 flèches qui on la capacité de toujours toucher leur cible","Sur cible","Un tour","8"
"mort","Malédiction d'Akuxas","Inflige 4d10 perce armure sur les ennemis","Sur zone","Unique","13"
"nature","**** NATURE *****","","T","","0"
"nature","Contrôle de la végétation","Permet de contrôle les plantes environnantes","Sur zone","Un tour","0"
"nature","Rétrécissement","Réduit la cible, la rends plus difficile à être détecter, (10% sur le jet de perception de l'ennemi), réduit la force de moitié ","Sur cible","Persistant","2"
"nature","Ami des animaux","Permet d'appeler des animaux à  son secours","Sur zone","Un tour","2"
"nature","Mémoire de la nature","Permet d'interroger tous les végétaux pour savoir ce qui c'est passé plus tôt","Sur zone","Un tour","2"
"nature","Armure de bois","Armure 2 sur la cible,  sensibilité au feu(en cas d'attaque de feux l'armure est détruite) ","Sur soi ou sur cible","Persistant","2"
"nature","Croissance luxuriante","Emprisonne les pieds d'un ennemi, peux avoir des ronces empoissonnées qui inflige 1d4 de dégât perce armure(+2), peut immobiliser totalement l'ennemi(+2), l'ennemi peut tenter de se libérer sur un test de physique à -20% ","Sur cible","Persistant","2"
"nature","Age végétal","La cible prend conscience de l'importance de la nature, grâce au parfum d'une fleur magique, la cible doit faire un jet de mental, si elle échoue elle devient pacifiste et arrête toute action belliqueuse, tous action offensive a son égare brisera le sort ","Sur cible","Persistant","3"
"nature","Camouflage naturel","Permet de se fondre dans la nature, via des végétaux ","Sur cible","Persistant","3"
"nature","Force de la nature","Augmente les dégâts+6 fait par une cible, pendant 3 tours, mais après ces tours, le porteur du sort tombe dans une inconscience pour 2 tour ","Sur cible ou sur soi","3 tour","3"
"nature","Agrandissement naturel","La cible double de taille, il impressionne les adverses(test de mental au adversaire), et augmente sa force de 6 points ","Sur cible","Persistant","4"
"nature","Animation du bois","Donne vie à  un arbre qui devient un combattant(création de caractéristique physique via 100-1d100(avec min 5), fait 1d6+4 de dégâts et à  6 d'armure sensible au feu, 20 PV) ","Sur zone","Persistant","7"
"nature","Bénédiction de la nature","2 prochains jets de dès autre que un dès 100, son automatiquement au maximum(exemple jet de dégât, jet de soin, jets de craft, etc) ","Pour 2 jets","Sur cible ou sur soi","6"
"nature","Protection de Gaïa","Tous les joueurs se retrouvent avec un bonus d'armure de+2","Sur groupe","Persistant","7"
"nature","Lame de cocacilla","l'invocation de cette lame de la nature et puissant: annule la capacité de tout ennemi en contact de lancer des sorts, en cas de blessures, la lame détruira un objet magique, pour chaque attaque réussit,  elle fait oublier un sort, elle inflige 2d6 de dégâts ","Sur cible","Persistant","7"
"nature","Vengeance de Gaïa","Inflige 4d10perce armure sur les ennemis","Sur cible","Unique","13"
"nature","Voix de la sagesse ","Redonne 1d6+2 à  une personne","Sur cible","Un tour","2"
"poison","**** POSION *****","","T","","0"
"poison","Venin sanguin","Le sang du joueur devient du poison à  ces attaquants:pour chaque blessure subit, il inflige 1d4 de dommage(sans bonus d'armure) ","Sur soi","Persistant","0"
"poison","Crachat de poison","Inflige 1d4 de dommage armure impossible(doit être proche de la cible)","Sur cible","Un tour","2"
"poison","Affaiblissement","La cible perds 10% à  ses lancés de dés et augmente de 5 % ses échecs critiques","Sur cible","Persistant","3"
"poison","Affaiblissement toxique","Rends plus vulnérable, la cible à +2 à  tous les dégât qu'il subit ","Sur cible","Persistant","3"
"poison","Overdose d'adrénaline","Augmente les dégâts+4 sur une cible et+10% au jet de physique, mais elle subit 4 PV de tour passe armure, le sort annulé s'annule un tour après la décision de l’arrêter ","Sur cible ou sur soi","PersistantF","3"
"poison","Nuage de poison","Créer un nuage de poison,  attention au sens du vent,  inflige au personne prise dans le nuage 1d6+1 de dégât(passe armure)par tour tant qu'ils sont dans le nuage(3psy+2mtn) ","Sur zone","Maintien","3"
"poison","Dévastation","Puise dans la terre, des ressources vitales, cela tue tous les végétaux dans un rayons de 10 mètres, gagne 2d6 PV ","Sur soi","Persistant","3"
"poison","Contact corrosif","Toute personne ami ou ennemi qui est blessé, ou contact serrer, par le joueur perdra définitivement 1 point d'armure(si armure naturelle il faudra se soigner hors combat pour récupérer le point d'armure)si il y a pas ou plus d'armure il subira 1d6+1 dommage ","Sur cible","Persistant","4"
"poison","Rosier empoisonné","Créer un mur de rosier empoisonnée, PV 8, faisant 1d4+2 perce armure ","Sur zone","Persistant","4"
"poison","Enchantement d'armes","l'arme enchanté possède poison,  inflige 1d4 de dégât par tour, après la première attaque réussite ","Sur cible","Persistant","4"
"poison","Drogue","La cible ne peut pas se concentrer pour lancer les sorts il a un malus de 30% au jet de mental","Sur cible","5 tours","5"
"poison","Empoisonnement instantané ","Inflige 1d8+4 perce armure sur cible à  tous moments","Sur cible","Éphémère","5"
"poison","Poison paralysant","Paralyse une victime","Sur cible","3 tours","6"
"poison","Peste","Inflige 4d4+4 armure non prise en compte à  une cible par tour jusqu’à  la guérison de la Peste, non cumulable avec putréfaction ","Sur cible","Persistant","8"
"poison","Empoisonnement de l'esprit","La cible est confuse qui est un allié ou ennemi et attaque ses alliés, influe sur les 5 sens ","Sur cible","Persistant","6"
"poison","Souffle de Fafug","Inflige 4d10 perce armure sur les ennemis ou allier","Sur zone","Unique","12"
"telekinesie","**** TELEKINESIE *****","","T","","0"
"telekenesie","Télesthésie","Déplace tous les objets dans une distance raisonnable","Sur zone","Un tour","0"
"telekenesie","Rectification de tir","Suite à  échec de tir permet de rediriger le projectile","Sur cible","Éphémère","2"
"telekenesie","Cherche","Permets de trouver tout objet intéressant dans un secteur de 10 mètres autour de soi","Sur zone","Un tour","2"
"telekenesie","Propulsion","Se jet sur l'ennemi avec une force incroyable 1d4 de dommage sans sauvegarde d'armure","Sur soi ou sur cible","Un tour","2"
"telekenesie","Sixième sens","Permet de pressentir un danger imminent","Sur zone","Un tour","2"
"telekenesie","Abattement","Augmente la force d'un coup porter de+1d6+3","Sur cible","Une attaque","3"
"telekenesie","Convaincre","Influence le choix d'un PNJ(s'il rate son jet de mental)","Sur cible","Un tour","3"
"telekenesie","Vol de Sort","Permet de lancer un sort prit dans la liste de sort d'un ennemi","Sur cible","Un tour","3"
"telekenesie","Transmission de pensée","Si la cible rate un jet de mental, le lanceur arrive à  savoir les sorts, la puissance etc ... d'une cible ","Sur cible","Un tour","3"
"telekenesie","Divination","Permet de relancer un jet de dès raté","Sur cible","Éphémère","3"
"telekenesie","Foi de Graly","Augmente la gravité dans une zone de 10 m,  rendant difficile tous mouvements, aucun projectile ne peut traverser cette zone, malus de 10% pour toute action physique(3psy+2/5m+2mt) ","Sur zone","Maintien","3"
"telekenesie","Présage","Permet au joueur de connaître l'action du PNJ prochain tour de la cible","Sur cible","Un tour","4"
"telekenesie","Action forcé","Ajoute un bonus de 5 % au jet de dé et 5 % aux réussites critiques pour toutes la durée du combat pour lui ou un autre joueur","Sur soi ou sur cible","Persistant","5"
"telekenesie","Ecartèlement","Ecartèle la victime doit faire un jet de physique pour y résister, pour le maintient le joueur doit faire un test de mental pour le maintenir(-10% a chaque tour supplémentairement)(4psy+3mt) ","Sur cible","Maintien","4"
